SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
COROMANDEL,EQ,274,276.95,270,273.15,273,275.5,83650,22806098.75,26-DEC-2016,2216,INE169A01031,
CORPBANK,EQ,40.9,41.2,40.15,40.3,40.45,41.05,136973,5534311.85,26-DEC-2016,792,INE112A01023,
COSMOFILMS,EQ,325,328,318,322.85,324.5,325.65,22753,7366910.6,26-DEC-2016,1577,INE757A01017,
COUNCODOS,EQ,3.9,4,3.85,3.9,3.9,3.9,11283,44342.4,26-DEC-2016,20,INE695B01025,
COX&KINGS,EQ,174.5,174.5,168.3,169.2,168.6,174.3,99996,16978174,26-DEC-2016,2113,INE008I01026,
CPSEETF,EQ,24.6,24.97,24.31,24.38,24.37,24.85,169607,4151212.41,26-DEC-2016,299,INF457M01133,
CREST,EQ,88.3,88.3,85.5,85.5,85.5,89.95,3293,282728.2,26-DEC-2016,49,INE559D01011,
CRISIL,EQ,2150,2170,2131.2,2162.45,2170,2141.35,2422,5221136.45,26-DEC-2016,846,INE007A01025,
CROMPGREAV,EQ,58.15,58.15,55.6,55.9,55.65,57.65,2637077,149351165.8,26-DEC-2016,16103,INE067A01029,
CROMPTON,EQ,144,144.25,138,140.4,140.1,145.05,317599,44727618.85,26-DEC-2016,12860,INE299U01018,
CROWN,SM,89.65,95,86.65,95,95,87.25,5000,452000,26-DEC-2016,5,INE491V01019,
CTE,EQ,93.7,94.2,93.7,94,94,95.6,15244,1428841.85,26-DEC-2016,59,INE627H01017,
CUB,EQ,132.6,132.6,129.1,131.55,131.8,131.25,151912,19822013.85,26-DEC-2016,4505,INE491A01021,
CUBEXTUB,BE,11,11,10.85,10.85,10.85,11.4,830,9055,26-DEC-2016,9,INE144D01012,
CUMMINSIND,EQ,797,803.4,783,792.35,790.5,797.75,72435,57428845.35,26-DEC-2016,6032,INE298A01020,
CUPID,EQ,290.05,291.95,282.8,283.85,284.65,290.85,24710,7071287.7,26-DEC-2016,1244,INE509F01011,
CYBERMEDIA,EQ,11.15,11.15,11.15,11.15,11.15,10.65,2,22.3,26-DEC-2016,2,INE278G01037,
CYBERTECH,EQ,80.65,80.65,74.55,75.85,76.1,79.85,41543,3168704.4,26-DEC-2016,497,INE214A01019,
CYIENT,EQ,486.05,489.95,475,479.2,476.2,483.15,7992,3843958.65,26-DEC-2016,497,INE136B01020,
DAAWAT,EQ,271.05,271.05,256.45,259.55,260,272.55,18982,4970209.7,26-DEC-2016,1051,INE818H01012,
DABUR,EQ,260.75,264.1,259.15,259.95,260.75,262.05,434029,113391945.25,26-DEC-2016,10869,INE016A01026,
DALMIABHA,EQ,1399.4,1400,1220.5,1293.85,1290.05,1399.3,91891,119747584,26-DEC-2016,7206,INE439L01019,
DALMIASUG,EQ,123.9,125.8,120.55,123,122.55,124.15,180263,22186394.25,26-DEC-2016,2065,INE495A01022,
DAMODARIND,EQ,70.15,70.15,70,70,70,72.25,193,13526.05,26-DEC-2016,5,INE497D01014,
DATAMATICS,EQ,119.5,119.5,106.65,108.3,107.5,119.95,1751956,196505435.65,26-DEC-2016,19003,INE365B01017,
DBCORP,EQ,353.35,361.05,347.1,355.1,355,353.65,48829,17374163.5,26-DEC-2016,7180,INE950I01011,
DBL,EQ,220.25,220.6,216.55,218.45,218.95,220.8,27219,5949659.2,26-DEC-2016,1189,INE917M01012,
DBREALTY,EQ,37.2,37.6,36.05,36.35,36.35,37.7,78227,2871289.6,26-DEC-2016,566,INE879I01012,
DBSTOCKBRO,EQ,13.45,13.45,13.45,13.45,13.45,13.7,4,53.8,26-DEC-2016,1,INE921B01025,
DCBBANK,EQ,105,105.2,102.7,103.1,102.85,105.75,420833,43593305.6,26-DEC-2016,5300,INE503A01015,
DCM,EQ,104.7,104.7,101.1,102.2,103.5,104.1,16776,1721160.75,26-DEC-2016,305,INE498A01018,
DCMSHRIRAM,EQ,202.55,206.6,197,197.85,197.95,203.65,53321,10667762.95,26-DEC-2016,1204,INE499A01024,
DCW,EQ,29.5,30.2,28.55,28.85,28.8,29.55,558488,16249456.45,26-DEC-2016,1627,INE500A01029,
DECCANCE,EQ,907.8,915.1,880,887.85,885,917.8,3782,3363642.25,26-DEC-2016,434,INE583C01013,
DEEPAKFERT,EQ,201.4,209.95,201,204.05,201.2,206.85,27650,5654378.95,26-DEC-2016,1289,INE501A01019,
DEEPAKNTR,EQ,86.9,87.9,75.75,81.85,82.5,84.85,471648,38796709.55,26-DEC-2016,4757,INE288B01029,
DEEPIND,EQ,284.3,284.9,275,276.6,276.2,284.9,147919,41405929.2,26-DEC-2016,2180,INE677H01012,
DELTACORP,EQ,98,98.25,95.05,95.55,95.45,98,1029567,99004931,26-DEC-2016,7295,INE124G01033,
DEN,EQ,63.95,69.1,62.5,65.3,64.55,64.2,811077,54579625.25,26-DEC-2016,8101,INE947J01015,
DENABANK,EQ,32.6,32.85,31.7,31.9,31.85,32.9,439356,14117312.8,26-DEC-2016,2151,INE077A01010,
DENORA,EQ,218,232.65,215.9,219.25,220,226.5,3349,738082.5,26-DEC-2016,179,INE244A01016,
DHAMPURSUG,EQ,116.2,118.65,114.25,116.05,116.3,116.25,246044,28714741,26-DEC-2016,2661,INE041A01016,
DHANBANK,EQ,22.75,22.75,22,22.05,22.05,22.75,162544,3613906.05,26-DEC-2016,817,INE680A01011,
